km,split_time,time_s,elev_change_m,grade_frac,pace_s_per_km,gap_pace_s_per_km,pace_min_per_km,gap_min_per_km
0.4,107,107.0,0.0,0.0,107.0,107.0,1.7833333333333334,1.7833333333333334
1.0,223,223.0,30.599999999999994,0.030599999999999995,223.0,170.75038284839204,3.716666666666667,2.8458397141398675
1.2,307,307.0,13.199999999999989,0.013199999999999988,307.0,271.2014134275619,5.116666666666666,4.520023557126032
1.4,321,321.0,-2.1999999999999886,-0.0021999999999999884,321.0,323.84987893462466,5.35,5.3974979822437446
1.3,274,274.0,-28.799999999999997,-0.028799999999999996,274.0,309.67450271247736,4.566666666666666,5.161241711874623
1.4,303,303.0,-33.2,-0.0332,303.0,349.40036900369006,5.05,5.823339483394834
1.1,259,259.0,-9.799999999999997,-0.009799999999999998,259.0,269.56702747710244,4.316666666666666,4.49278379128504
1.4,327,327.0,-0.6000000000000085,-0.0006000000000000085,327.0,327.7866880513232,5.45,5.463111467522054
1.2,254,254.0,-0.19999999999998863,-0.00019999999999998863,254.0,254.2033626901521,4.233333333333333,4.2367227115025345
0.4,109,109.0,6.199999999999989,0.0061999999999999885,109.0,102.63653483992469,1.8166666666666667,1.7106089139987448
1.0,232,232.0,7.400000000000006,0.0074000000000000055,232.0,216.01489757914337,3.8666666666666667,3.600248292985723
1.2,316,316.0,24.200000000000003,0.024200000000000003,316.0,254.42834138486313,5.266666666666667,4.240472356414386
1.4,329,329.0,32.60000000000001,0.03260000000000001,329.0,248.11463046757163,5.483333333333333,4.135243841126194
1.3,280,280.0,5.799999999999983,0.005799999999999983,280.0,264.6502835538753,4.666666666666667,4.410838059231255
1.4,301,301.0,-22.19999999999999,-0.022199999999999987,301.0,330.3336259877085,5.016666666666667,5.505560433128475
1.1,265,265.0,-20.60000000000001,-0.020600000000000007,265.0,288.79686137750656,4.416666666666667,4.813281022958443
1.4,336,336.0,-27.799999999999997,-0.0278,336.0,378.037803780378,5.6,6.3006300630063
1.2,252,252.0,-2.799999999999997,-0.0027999999999999974,252.0,254.85436893203882,4.2,4.247572815533981
0.3,84,84.0,-0.20000000000000284,-0.00020000000000000286,84.0,84.06725380304243,1.4,1.4011208967173738
